    0 <= x <= 30    ; y =     50.0000 +      0.6000 x ; interpolation
   30 <= x <= 60    ; y =     84.0000 +     -0.5333 x ; interpolation
   60 <= x <= 90    ; y =     16.0000 +      0.6000 x ; interpolation
   90 <= x <= 120   ; y =    106.0000 +     -0.4000 x ; interpolation
  120 <= x <= 150   ; y =     22.0000 +      0.3000 x ; interpolation
  150 <= x <= 180   ; y =     87.0000 +     -0.1333 x ; interpolation
  180 <= x <= 210   ; y =     15.0000 +      0.2667 x ; interpolation
  210 <= x <= 240   ; y =    113.0000 +     -0.2000 x ; interpolation
  240 <= x <= 270   ; y =     17.0000 +      0.2000 x ; interpolation
  270 <= x <= 300   ; y =    107.0000 +     -0.1333 x ; interpolation
  300 <= x <= 330   ; y =    187.0000 +     -0.4000 x ; interpolation
  330 <= x <= 360   ; y =    -44.0000 +      0.3000 x ; interpolation
  360 <= x <= 390   ; y =    196.0000 +     -0.3667 x ; interpolation
  390 <= x <= 420   ; y =     27.0000 +      0.0667 x ; interpolation
  420 <= x <= 450   ; y =   -169.0000 +      0.5333 x ; interpolation
  450 <= x <= 480   ; y =     71.0000 +      0.0000 x ; interpolation
  480 <= x <= 510   ; y =    327.0000 +     -0.5333 x ; interpolation
  510 <= x <= 540   ; y =     89.0000 +     -0.0667 x ; interpolation
  540 <= x <= 570   ; y =   -253.0000 +      0.5667 x ; interpolation
  570 <= x <= 600   ; y =    393.0000 +     -0.5667 x ; interpolation
  600 <= x <= 630   ; y =     -7.0000 +      0.1000 x ; interpolation
  630 <= x <= 660   ; y =     98.0000 +     -0.0667 x ; interpolation
  660 <= x <= 690   ; y =   -364.0000 +      0.6333 x ; interpolation
  690 <= x <= 720   ; y =     96.0000 +     -0.0333 x ; interpolation
  720 <= x <= 750   ; y =    480.0000 +     -0.5667 x ; interpolation
  750 <= x <= 780   ; y =   -395.0000 +      0.6000 x ; interpolation
  780 <= x <= 810   ; y =     73.0000 +      0.0000 x ; interpolation
  810 <= x <= 840   ; y =     73.0000 +      0.0000 x ; interpolation
  840 <= x <= 870   ; y =     45.0000 +      0.0333 x ; interpolation
  870 <= x <= 900   ; y =    132.0000 +     -0.0667 x ; interpolation
  900 <= x <= 930   ; y =     42.0000 +      0.0333 x ; interpolation
  930 <= x <= 960   ; y =     42.0000 +      0.0333 x ; interpolation
  960 <= x <= 990   ; y =    106.0000 +     -0.0333 x ; interpolation
  990 <= x <= 1020  ; y =    139.0000 +     -0.0667 x ; interpolation
 1020 <= x <= 1050  ; y =    615.0000 +     -0.5333 x ; interpolation
 1050 <= x <= 1080  ; y =     55.0000 +      0.0000 x ; interpolation
 1080 <= x <= 1110  ; y =   -521.0000 +      0.5333 x ; interpolation
 1110 <= x <= 1140  ; y =     34.0000 +      0.0333 x ; interpolation
 1140 <= x <= 1170  ; y =     72.0000 +      0.0000 x ; interpolation
 1170 <= x <= 1200  ; y =    111.0000 +     -0.0333 x ; interpolation
 1200 <= x <= 1230  ; y =     71.0000 +      0.0000 x ; interpolation
 1230 <= x <= 1260  ; y =    -11.0000 +      0.0667 x ; interpolation
 1260 <= x <= 1290  ; y =    115.0000 +     -0.0333 x ; interpolation
 1290 <= x <= 1320  ; y =    115.0000 +     -0.0333 x ; interpolation
 1320 <= x <= 1350  ; y =    687.0000 +     -0.4667 x ; interpolation
 1350 <= x <= 1380  ; y =    192.0000 +     -0.1000 x ; interpolation
 1380 <= x <= 1410  ; y =    -38.0000 +      0.0667 x ; interpolation
 1410 <= x <= 1440  ; y =   -649.0000 +      0.5000 x ; interpolation
 1440 <= x <= 1470  ; y =    -25.0000 +      0.0667 x ; interpolation
 1470 <= x <= 1500  ; y =     24.0000 +      0.0333 x ; interpolation
 1500 <= x <= 1530  ; y =   1124.0000 +     -0.7000 x ; interpolation
 1530 <= x <= 1560  ; y =    -49.0000 +      0.0667 x ; interpolation
 1560 <= x <= 1590  ; y =   -465.0000 +      0.3333 x ; interpolation
 1590 <= x <= 1620  ; y =   -359.0000 +      0.2667 x ; interpolation
 1620 <= x <= 1650  ; y =    127.0000 +     -0.0333 x ; interpolation
 1650 <= x <= 1680  ; y =   1007.0000 +     -0.5667 x ; interpolation
 1680 <= x <= 1710  ; y =   -841.0000 +      0.5333 x ; interpolation
 1710 <= x <= 1740  ; y =   1097.0000 +     -0.6000 x ; interpolation
 1740 <= x <= 1770  ; y =   -179.0000 +      0.1333 x ; interpolation
 1770 <= x <= 1800  ; y =    234.0000 +     -0.1000 x ; interpolation
 1800 <= x <= 1830  ; y =   -966.0000 +      0.5667 x ; interpolation
 1830 <= x <= 1860  ; y =   1047.0000 +     -0.5333 x ; interpolation
 1860 <= x <= 1890  ; y =     -7.0000 +      0.0333 x ; interpolation
 1890 <= x <= 1920  ; y =  -1015.0000 +      0.5667 x ; interpolation
 1920 <= x <= 1950  ; y =   1097.0000 +     -0.5333 x ; interpolation
 1950 <= x <= 1980  ; y =    252.0000 +     -0.1000 x ; interpolation
 1980 <= x <= 2010  ; y =   -144.0000 +      0.1000 x ; interpolation
 2010 <= x <= 2040  ; y =    124.0000 +     -0.0333 x ; interpolation
 2040 <= x <= 2070  ; y =     56.0000 +      0.0000 x ; interpolation
 2070 <= x <= 2100  ; y =   -979.0000 +      0.5000 x ; interpolation
 2100 <= x <= 2130  ; y =    281.0000 +     -0.1000 x ; interpolation
 2130 <= x <= 2160  ; y =   3121.0000 +     -1.4333 x ; interpolation
 2160 <= x <= 2190  ; y =    169.0000 +     -0.0667 x ; interpolation
 2190 <= x <= 2220  ; y =  -3408.0000 +      1.5667 x ; interpolation
 2220 <= x <= 2250  ; y =   1106.0000 +     -0.4667 x ; interpolation
 2250 <= x <= 2280  ; y =  -1069.0000 +      0.5000 x ; interpolation
 2280 <= x <= 2310  ; y =   1135.0000 +     -0.4667 x ; interpolation
 2310 <= x <= 2340  ; y =  -1021.0000 +      0.4667 x ; interpolation
 2340 <= x <= 2370  ; y =   -163.0000 +      0.1000 x ; interpolation
 2370 <= x <= 2400  ; y =   1575.0000 +     -0.6333 x ; interpolation
 2400 <= x <= 2430  ; y =  -1385.0000 +      0.6000 x ; interpolation
 2430 <= x <= 2460  ; y =    235.0000 +     -0.0667 x ; interpolation
 2460 <= x <= 2490  ; y =   1137.0000 +     -0.4333 x ; interpolation
 2490 <= x <= 2520  ; y =    224.0000 +     -0.0667 x ; interpolation
 2520 <= x <= 2550  ; y =    -28.0000 +      0.0333 x ; interpolation
 2550 <= x <= 2580  ; y =  -1303.0000 +      0.5333 x ; interpolation
 2580 <= x <= 2610  ; y =    245.0000 +     -0.0667 x ; interpolation
 2610 <= x <= 2640  ; y =   1811.0000 +     -0.6667 x ; interpolation
 2640 <= x <= 2670  ; y =   -565.0000 +      0.2333 x ; interpolation
 2670 <= x <= 2700  ; y =  -1277.0000 +      0.5000 x ; interpolation
 2700 <= x <= 2730  ; y =    253.0000 +     -0.0667 x ; interpolation
 2730 <= x <= 2760  ; y =     71.0000 +      0.0000 x ; interpolation
 2760 <= x <= 2790  ; y =    255.0000 +     -0.0667 x ; interpolation
 2790 <= x <= 2820  ; y =   1371.0000 +     -0.4667 x ; interpolation
 2820 <= x <= 2850  ; y =   -227.0000 +      0.1000 x ; interpolation
 2850 <= x <= 2880  ; y =  -1177.0000 +      0.4333 x ; interpolation
 2880 <= x <= 2910  ; y =   1319.0000 +     -0.4333 x ; interpolation
 2910 <= x <= 2940  ; y =  -1397.0000 +      0.5000 x ; interpolation
 2940 <= x <= 2970  ; y =    269.0000 +     -0.0667 x ; interpolation
 2970 <= x <= 3000  ; y =     71.0000 +      0.0000 x ; interpolation
 3000 <= x <= 3030  ; y =     71.0000 +      0.0000 x ; interpolation
 3030 <= x <= 3060  ; y =     71.0000 +      0.0000 x ; interpolation
 3060 <= x <= 3090  ; y =     71.0000 +      0.0000 x ; interpolation
 3090 <= x <= 3120  ; y =   -238.0000 +      0.1000 x ; interpolation
 3120 <= x <= 3150  ; y =    282.0000 +     -0.0667 x ; interpolation
 3150 <= x <= 3180  ; y =   1647.0000 +     -0.5000 x ; interpolation
 3180 <= x <= 3210  ; y =  -1427.0000 +      0.4667 x ; interpolation
 3210 <= x <= 3240  ; y =   1676.0000 +     -0.5000 x ; interpolation
 3240 <= x <= 3270  ; y =   -160.0000 +      0.0667 x ; interpolation
 3270 <= x <= 3300  ; y =  -1359.0000 +      0.4333 x ; interpolation
 3300 <= x <= 3330  ; y =    181.0000 +     -0.0333 x ; interpolation
 3330 <= x <= 3360  ; y =   -263.0000 +      0.1000 x ; interpolation
 3360 <= x <= 3390  ; y =    -39.0000 +      0.0333 x ; interpolation
 3390 <= x <= 3420  ; y =     74.0000 +      0.0000 x ; interpolation
 3420 <= x <= 3450  ; y =    188.0000 +     -0.0333 x ; interpolation
 3450 <= x <= 3480  ; y =    188.0000 +     -0.0333 x ; interpolation
 3480 <= x <= 3510  ; y =   1580.0000 +     -0.4333 x ; interpolation
 3510 <= x <= 3540  ; y =  -1462.0000 +      0.4333 x ; interpolation
 3540 <= x <= 3570  ; y =    308.0000 +     -0.0667 x ; interpolation
 3570 <= x <= 3600  ; y =   -287.0000 +      0.1000 x ; interpolation
 3600 <= x <= 3630  ; y =    793.0000 +     -0.2000 x ; interpolation
 3630 <= x <= 3660  ; y =   -780.0000 +      0.2333 x ; interpolation
 3660 <= x <= 3690  ; y =    684.0000 +     -0.1667 x ; interpolation
 3690 <= x <= 3720  ; y =   -546.0000 +      0.1667 x ; interpolation
 3720 <= x <= 3750  ; y =    446.0000 +     -0.1000 x ; interpolation
 3750 <= x <= 3780  ; y =   1946.0000 +     -0.5000 x ; interpolation
 3780 <= x <= 3810  ; y =  -2086.0000 +      0.5667 x ; interpolation
 3810 <= x <= 3840  ; y =     73.0000 +      0.0000 x ; interpolation
 3840 <= x <= 3870  ; y =    457.0000 +     -0.1000 x ; interpolation
 3870 <= x <= 3900  ; y =   1876.0000 +     -0.4667 x ; interpolation
 3900 <= x <= 3930  ; y =    -74.0000 +      0.0333 x ; interpolation
 3930 <= x <= 3960  ; y =  -2039.0000 +      0.5333 x ; interpolation
 3960 <= x <= 3990  ; y =    469.0000 +     -0.1000 x ; interpolation
 3990 <= x <= 4020  ; y =   2065.0000 +     -0.5000 x ; interpolation
 4020 <= x <= 4050  ; y =   -213.0000 +      0.0667 x ; interpolation
 4050 <= x <= 4080  ; y =  -1698.0000 +      0.4333 x ; interpolation
 4080 <= x <= 4110  ; y =    206.0000 +     -0.0333 x ; interpolation
 4110 <= x <= 4140  ; y =   1713.0000 +     -0.4000 x ; interpolation
 4140 <= x <= 4170  ; y =  -2151.0000 +      0.5333 x ; interpolation
 4170 <= x <= 4200  ; y =    629.0000 +     -0.1333 x ; interpolation
 4200 <= x <= 4230  ; y =   2169.0000 +     -0.5000 x ; interpolation
 4230 <= x <= 4260  ; y =  -2625.0000 +      0.6333 x ; interpolation
 4260 <= x <= 4290  ; y =     73.0000 +      0.0000 x ; interpolation
 4290 <= x <= 4320  ; y =   2790.0000 +     -0.6333 x ; interpolation
 4320 <= x <= 4350  ; y =   -378.0000 +      0.1000 x ; interpolation
 4350 <= x <= 4380  ; y =  -2408.0000 +      0.5667 x ; interpolation
 4380 <= x <= 4410  ; y =   3140.0000 +     -0.7000 x ; interpolation
 4410 <= x <= 4440  ; y =   4316.0000 +     -0.9667 x ; interpolation
 4440 <= x <= 4470  ; y =  -4860.0000 +      1.1000 x ; interpolation
 4470 <= x <= 4500  ; y =    504.0000 +     -0.1000 x ; interpolation
 4500 <= x <= 4530  ; y =  -2046.0000 +      0.4667 x ; interpolation
 4530 <= x <= 4560  ; y =   -687.0000 +      0.1667 x ; interpolation
